Unnamed: 0,tweet,target
3088,I really wish I would have more time to draw blog  about . I'm sure they'd be helpful to many...,0
948,Why do you cut your ankle? It's easier to hide and I can't handle people finding out they'll pretend to care and hurt me again,1
593,everything is coming back to me all of a sudden. This ... is not a good feeling at all   ,1
823,"So after a 10 month hiatus, I watch a movie in a multiplex and it's Ugly! Maybe I was better off not watching any. ",0
722,"No matter how much @ZescoUnitedFC lights up the forest, they end up getting lost 😂 \n#ZescoForest\n#SSBola",0
2562,Im not really sad... I just feel empty... ,1
1415,"I'm not suicidal. But I admit, there are moments where I wonder... ",1
815,"Despite being physically very unwell this past week, I am mentally feeling very strong right now. Genuinely excited by the opportunity to kick on now and make the most of life. Overcoming  one step at a time.",1
688,oh crap...I lost $100 on poker games yesterday :(,1
59,"today I died to a mech in fortnite I'm  and , going to blAcK ouT my profile picture smh my head",0
3171,Getting a temporary break in the  to enjoy Rounda Rousey's loss ???„ Abusive bitch deserved it. ,0
3130,I need a concert in my life ???”   ,0
1932,Not even in a sexual way but I’m just craving affection because I feel like crap. I just want someone to hug me for a couple of hours and tell me I’m going to be okay.,1
2117,Sometimes I just wonder is it all worth it  ,1
2599,If you want to witness how fucked this society is pass by a school on a rainy day like today,0
1,I get to spend New Year's home again alone and lonely. ???• ,1
1428,One more night in edinburgh would've been perfect ???© ,0
467,Need to get out of this godforsaken place  ,1
1282,Laying in bed til work  highlight of my day will be drinking  tonight ??,0
2959,"With you, I'm lost in the moment. Without you I'm lost in the world.❤️🤐 #world  #moment #lostinthemoment #You",0
1944,"Dark place last year, I don't want to ever go back to that!   ",1
107,Wooo so happy right now! Just bought my tickets to see @NiallOfficial next summer in Dublin.Can't wait 😁 #niallhoran #Dublin #music ,0
721,"I almost rear-ended someone stupidly bad earlier because my brain, and body are so exhausted, mentally and physically. My anxiety has been so bad today. Its been a struggle..   ",1
1141,Having a bad day @TescoIrl #nightmare,1
1667,I wish I didn't feel like I bothered you all of the time.. ,1
1015,"Came home from vaca seeing a run over kitten in front of our house, which died hours later after incurring severe loss of blood. ",1
2472,"Well, the good thing is that I don't cut myself anymore tho. ",0
3136,"Given the answers after it doesn't matter =   at the bottom, not a single Christian friend.  what now?",1
720,Changing name doesn't change services.  hospitals should not spell   and . - Dr. Sanjeev  pic.twitter.com/1ISpCj3cGt,0
